game_id,season,week,gameday,weekday,gametime,away_team,home_team,old_game_id,
2023_1_DET_KC,2023,1,09/07/23,Thursday,20:20,DET,KC,2023090700,
2023_1_ARI_WAS,2023,1,09/10/23,Sunday,13:00,ARI,WAS,2023091001,
2023_1_CAR_ATL,2023,1,09/10/23,Sunday,13:00,CAR,ATL,2023091002,
2023_1_CIN_CLE,2023,1,09/10/23,Sunday,13:00,CIN,CLE,2023091003,
2023_1_HOU_BAL,2023,1,09/10/23,Sunday,13:00,HOU,BAL,2023091004,
2023_1_JAX_IND,2023,1,09/10/23,Sunday,13:00,JAX,IND,2023091005,
2023_1_SF_PIT,2023,1,09/10/23,Sunday,13:00,SF,PIT,2023091006,
2023_1_TB_MIN,2023,1,09/10/23,Sunday,13:00,TB,MIN,2023091007,
2023_1_TEN_NO,2023,1,09/10/23,Sunday,13:00,TEN,NO,2023091008,
2023_1_GB_CHI,2023,1,09/10/23,Sunday,16:25,GB,CHI,2023091009,
2023_1_LV_DEN,2023,1,09/10/23,Sunday,16:25,LV,DEN,2023091010,
2023_1_LAR_SEA,2023,1,09/10/23,Sunday,16:25,LAR,SEA,2023091011,
2023_1_MIA_LAC,2023,1,09/10/23,Sunday,16:25,MIA,LAC,2023091012,
2023_1_PHI_NE,2023,1,09/10/23,Sunday,16:25,PHI,NE,2023091013,
2023_1_DAL_NYG,2023,1,09/10/23,Sunday,20:20,DAL,NYG,2023091014,
2023_1_BUF_NYJ,2023,1,09/11/23,Monday,20:15,BUF,NYJ,2023091115,
2023_2_MIN_PHI,2023,2,09/14/23,Thursday,20:15,MIN,PHI,2023091400,
2023_2_BAL_CIN,2023,2,09/17/23,Sunday,13:00,BAL,CIN,2023091701,
2023_2_CHI_TB,2023,2,09/17/23,Sunday,13:00,CHI,TB,2023091702,
2023_2_GB_ATL,2023,2,09/17/23,Sunday,13:00,GB,ATL,2023091703,
2023_2_IND_HOU,2023,2,09/17/23,Sunday,13:00,IND,HOU,2023091704,
2023_2_KC_JAX,2023,2,09/17/23,Sunday,13:00,KC,JAX,2023091705,
2023_2_LV_BUF,2023,2,09/17/23,Sunday,13:00,LV,BUF,2023091706,
2023_2_LAC_TEN,2023,2,09/17/23,Sunday,13:00,LAC,TEN,2023091707,
2023_2_SEA_DET,2023,2,09/17/23,Sunday,13:00,SEA,DET,2023091708,
2023_2_NYG_ARI,2023,2,09/17/23,Sunday,16:05,NYG,ARI,2023091709,
2023_2_SF_LAR,2023,2,09/17/23,Sunday,16:05,SF,LAR,2023091710,
2023_2_NYJ_DAL,2023,2,09/17/23,Sunday,16:25,NYJ,DAL,2023091711,
2023_2_WAS_DEN,2023,2,09/17/23,Sunday,16:25,WAS,DEN,2023091712,
2023_2_MIA_NE,2023,2,09/17/23,Sunday,20:20,MIA,NE,2023091713,
2023_2_NO_CAR,2023,2,09/18/23,Monday,19:15,NO,CAR,2023091814,
2023_2_CLE_PIT,2023,2,09/18/23,Monday,20:15,CLE,PIT,2023091815,
2023_3_NYG_SF,2023,3,09/21/23,Thursday,20:15,NYG,SF,2023092100,
2023_3_ATL_DET,2023,3,09/24/23,Sunday,13:00,ATL,DET,2023092401,
2023_3_BUF_WAS,2023,3,09/24/23,Sunday,13:00,BUF,WAS,2023092402,
2023_3_DEN_MIA,2023,3,09/24/23,Sunday,13:00,DEN,MIA,2023092403,
2023_3_HOU_JAX,2023,3,09/24/23,Sunday,13:00,HOU,JAX,2023092404,
2023_3_LAC_MIN,2023,3,09/24/23,Sunday,13:00,LAC,MIN,2023092405,
2023_3_NE_NYJ,2023,3,09/24/23,Sunday,13:00,NE,NYJ,2023092406,
2023_3_NO_GB,2023,3,09/24/23,Sunday,13:00,NO,GB,2023092407,
2023_3_TEN_CLE,2023,3,09/24/23,Sunday,13:00,TEN,CLE,2023092408,
2023_3_CAR_SEA,2023,3,09/24/23,Sunday,16:05,CAR,SEA,2023092409,
2023_3_IND_BAL,2023,3,09/24/23,Sunday,16:05,IND,BAL,2023092410,
2023_3_CHI_KC,2023,3,09/24/23,Sunday,16:25,CHI,KC,2023092411,
2023_3_DAL_ARI,2023,3,09/24/23,Sunday,16:25,DAL,ARI,2023092412,
2023_3_PIT_LV,2023,3,09/24/23,Sunday,20:20,PIT,LV,2023092413,
2023_3_PHI_TB,2023,3,09/25/23,Monday,19:15,PHI,TB,2023092514,
2023_3_LAR_CIN,2023,3,09/25/23,Monday,20:15,LAR,CIN,2023092515,
2023_4_DET_GB,2023,4,09/28/23,Thursday,20:15,DET,GB,2023092800,
2023_4_ATL_JAX,2023,4,10/01/23,Sunday,09:30,ATL,JAX,2023100101,
2023_4_BAL_CLE,2023,4,10/01/23,Sunday,13:00,BAL,CLE,2023100102,
2023_4_CIN_TEN,2023,4,10/01/23,Sunday,13:00,CIN,TEN,2023100103,
2023_4_DEN_CHI,2023,4,10/01/23,Sunday,13:00,DEN,CHI,2023100104,
2023_4_LAR_IND,2023,4,10/01/23,Sunday,13:00,LAR,IND,2023100105,
2023_4_MIA_BUF,2023,4,10/01/23,Sunday,13:00,MIA,BUF,2023100106,
2023_4_MIN_CAR,2023,4,10/01/23,Sunday,13:00,MIN,CAR,2023100107,
2023_4_PIT_HOU,2023,4,10/01/23,Sunday,13:00,PIT,HOU,2023100108,
2023_4_TB_NO,2023,4,10/01/23,Sunday,13:00,TB,NO,2023100109,
2023_4_WAS_PHI,2023,4,10/01/23,Sunday,13:00,WAS,PHI,2023100110,
2023_4_LV_LAC,2023,4,10/01/23,Sunday,16:05,LV,LAC,2023100111,
2023_4_ARI_SF,2023,4,10/01/23,Sunday,16:25,ARI,SF,2023100112,
2023_4_NE_DAL,2023,4,10/01/23,Sunday,16:25,NE,DAL,2023100113,
2023_4_KC_NYJ,2023,4,10/01/23,Sunday,20:20,KC,NYJ,2023100114,
2023_4_SEA_NYG,2023,4,10/02/23,Monday,20:15,SEA,NYG,2023100215,
2023_5_CHI_WAS,2023,5,10/05/23,Thursday,20:15,CHI,WAS,2023100500,
2023_5_JAX_BUF,2023,5,10/08/23,Sunday,09:30,JAX,BUF,2023100801,
2023_5_BAL_PIT,2023,5,10/08/23,Sunday,13:00,BAL,PIT,2023100802,
2023_5_CAR_DET,2023,5,10/08/23,Sunday,13:00,CAR,DET,2023100803,
2023_5_HOU_ATL,2023,5,10/08/23,Sunday,13:00,HOU,ATL,2023100804,
2023_5_NO_NE,2023,5,10/08/23,Sunday,13:00,NO,NE,2023100805,
2023_5_NYG_MIA,2023,5,10/08/23,Sunday,13:00,NYG,MIA,2023100806,
2023_5_TEN_IND,2023,5,10/08/23,Sunday,13:00,TEN,IND,2023100807,
2023_5_CIN_ARI,2023,5,10/08/23,Sunday,16:05,CIN,ARI,2023100808,
2023_5_PHI_LAR,2023,5,10/08/23,Sunday,16:05,PHI,LAR,2023100809,
2023_5_KC_MIN,2023,5,10/08/23,Sunday,16:25,KC,MIN,2023100810,
2023_5_NYJ_DEN,2023,5,10/08/23,Sunday,16:25,NYJ,DEN,2023100811,
2023_5_DAL_SF,2023,5,10/08/23,Sunday,20:20,DAL,SF,2023100812,
